Célula;Plano;Pearson;M1;M2 ;Li
metafasee  2;5;0.752;0.828;0.711;0.284937888
metafasee  2;6;0.771;0.872;0.651;0.263781056
metafasee  2;7;0.766;0.896;0.666;0.257181677
metafasee  2;8;0.757;0.895;0.686;0.248447205
metafasee  2;9;0.767;0.903;0.703;0.252911491
metafasee  2;10;0.764;0.91;0.636;0.234083851
metafasee  2;11;0.765;0.947;0.617;0.229425466
metafasee  2;12;0.766;0.859;0.721;0.216420807
metafasee  2;13;0.745;0.905;0.635;0.217197205
metafasee  2;14;0.723;0.916;0.583;0.221661491
metafasee  2;15;0.637;0.801;0.59;0.206521739
metafasee  2;11;0.708;0.81;0.688;0.242654509
metafasee  2;12;0.713;0.904;0.614;0.260131712
metafasee  2;13;0.756;0.925;0.599;0.287234043
metafasee  2;14;0.764;0.837;0.657;0.296099291
metafasee  2;15;0.786;0.846;0.66;0.29964539
metafasee  2;16;0.777;0.903;0.59;0.306737589
prometafase 1;11;0.649;0.679;0.643;0.235065669
prometafase 1;12;0.642;0.822;0.57;0.23605423
prometafase 1;12;0.775;0.625;0.688;0.327573529
prometafase 1;13;0.721;0.559;0.636;0.315257353
prometafase 1;14;0.672;0.413;0.513;0.306617647
prometafase 1;15;0.701;0.52;0.578;0.311810662
prometafase 3;5;0.79;0.806;0.775;0.341893781
prometafase 3;6;0.794;0.853;0.775;0.360761705
prometafase 3;7;0.804;0.862;0.748;0.353249476
prometafase 3;8;0.815;0.887;0.75;0.348881901
prometafase 3;9;0.814;0.834;0.745;0.332983927
prometafase 3;10;0.804;0.73;0.757;0.313591894
prometafase 3;11;0.79;0.745;0.715;0.298742138
prometafase 3;12;0.767;0.713;0.669;0.275157233
prometafase 3;9;0.65;0.685;0.626;0.182953181
prometafase 3;10;0.665;0.78;0.627;0.194957983
prometafase 3;11;0.663;0.773;0.583;0.224009604
prometafase 3;12;0.654;0.769;0.553;0.248859544
prometafase 5;9;0.83;0.759;0.758;0.368929016
prometafase 5;10;0.833;0.733;0.803;0.375
prometafase 5;11;0.834;0.757;0.835;0.371575342
prometafase 5;12;0.825;0.75;0.822;0.380603985
prometafase 5;13;0.813;0.734;0.818;0.374066002
prometafase 5;14;0.793;0.804;0.737;0.368929016
prometafase 5;15;0.702;0.712;0.608;0.339428571
prometafase 5;16;0.735;0.762;0.666;0.350857143
prometafase 5;17;0.742;0.757;0.676;0.356285714
prometafase 8;8;0.762;0.796;0.848;0.345833333
prometafase 8;9;0.768;0.824;0.818;0.342261905
prometafase 8;10;0.793;0.743;0.85;0.351190476
prometafase 8;11;0.802;0.793;0.843;0.345833333
prometafase 8;11;0.768;0.792;0.828;0.365210843
prometafase 8;12;0.775;0.818;0.821;0.372929217
prometafase 8;13;0.788;0.826;0.841;0.377447289
prometafase 8;14;0.787;0.838;0.842;0.385918675
prometafase 8;15;0.777;0.857;0.77;0.370105422
prometafase 9;5;0.834;0.884;0.819;0.284848485
prometafase 9;6;0.841;0.913;0.799;0.283838384
prometafase 9;7;0.835;0.934;0.746;0.27979798
prometafase 9;8;0.838;0.923;0.814;0.291245791
prometafase 9;9;0.839;0.874;0.865;0.291582492
prometafase 9;10;0.811;0.833;0.834;0.264814815
prometafase 9;11;0.772;0.84;0.787;0.238552189
prometafase 9;12;0.636;0.5;0.562;0.232816203
prometafase 9;13;0.66;0.69;0.543;0.250269339
prometafase 9;14;0.624;0.593;0.534;0.241004094
